state	date	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
AL	2016-11-08					0.00249999999999995	0.00249999999999995
AK	2016-11-08					0.00249999999999995	0.00249999999999995
AZ	2016-07-01	-0.00835235622328904	-0.0358847129806921	0.0195305678112795	0.0735659972656885	0.2677	0.355778136634742
AZ	2016-07-02	-0.00848607553103058	-0.0362936018363359	0.0193493366178045	0.073310472400306	0.2666	0.352989134921361
AZ	2016-07-03	-0.00862153029594752	-0.0364685054918071	0.0192085421331539	0.0730358888914386	0.26675	0.351463370346525
AZ	2016-07-04	-0.00875717471299092	-0.0369507324516629	0.0191576804262916	0.072743186161181	0.26585	0.348916957717846
AZ	2016-07-05	-0.00891599752644319	-0.0372300519024063	0.0191318033750933	0.0725129334211682	0.2598	0.341129019222031
AZ	2016-07-06	-0.0090278088763961	-0.0374890657551139	0.0190397788625245	0.0722186862686971	0.25825	0.338245807684319
AZ	2016-07-07	-0.00921775690944849	-0.0379238116595701	0.0190330071062627	0.0719772036263806	0.25635	0.334435378398948
AZ	2016-07-08	-0.00937440253656185	-0.0380877225466027	0.0191327148797771	0.0717087361162189	0.2516	0.328094193455574
AZ	2016-07-09	-0.00951488410799902	-0.0383078120065121	0.0190425567140202	0.071444769948238	0.2474	0.322487377983065
AZ	2016-07-10	-0.00968035364547431	-0.0387348657153162	0.0186361784109	0.071185243333253	0.24435	0.31788578798904
AZ	2016-07-11	-0.00983041198058387	-0.0387919606726369	0.0185996638633745	0.0709012744074137	0.2398	0.311924418129628
AZ	2016-07-12	-0.00999679559881699	-0.0392399893340332	0.0180145931724992	0.0705984621479531	0.23895	0.309571091979021
AZ	2016-07-13	-0.0101663093299818	-0.039441306103201	0.0178422554393301	0.0703425064226143	0.23415	0.303341782523442
AZ	2016-07-14	-0.0103008276722478	-0.0396381158050064	0.0178450477956964	0.0700285775939133	0.23205	0.300033447371499
AZ	2016-07-15	-0.0104806136985197	-0.0399369029030736	0.017530522970612	0.0697074799820457	0.2299	0.29641087616357
AZ	2016-07-16	-0.0106384873492307	-0.0399104725683813	0.0173305998026502	0.0694574923953322	0.22555	0.290838880002621
AZ	2016-07-17	-0.0107961958304942	-0.0401238694947521	0.0171338058774177	0.0691762383855572	0.21885	0.282924642097698
AZ	2016-07-18	-0.0109476818433149	-0.0401178319058867	0.0168956327593876	0.0689280524169613	0.21555	0.278511322226451
AZ	2016-07-19	-0.0111056412468222	-0.04019308783992	0.0167751043817109	0.0686317406641711	0.21255	0.274348989485465
AZ	2016-07-20	-0.0112550879759774	-0.0402140824691334	0.016529143593337	0.0683816315764409	0.2082	0.268956194640498
AZ	2016-07-21	-0.0114115658999438	-0.0403433795335834	0.0164387012827261	0.0681095486624019	0.20595	0.265634664891378
AZ	2016-07-22	-0.0115390566699007	-0.0405564927484629	0.016261632897817	0.0678287830255153	0.20365	0.262431913431836
AZ	2016-07-23	-0.0116122141802945	-0.0405466085780229	0.0163724359819961	0.067568045914201	0.2019	0.260087047590684
AZ	2016-07-24	-0.0117428788999486	-0.040520385851626	0.0159080481030146	0.0672933156411703	0.1998	0.257105637071217
AZ	2016-07-25	-0.0119012537760285	-0.040515332995792	0.0156051801356509	0.0670230059172645	0.19565	0.251965920304348
AZ	2016-07-26	-0.0120267162902622	-0.0405771705687163	0.0153546848482164	0.0667693776821128	0.19475	0.250267546161935
AZ	2016-07-27	-0.0121652253235861	-0.0406018362199433	0.0149560681695454	0.0664432023448577	0.18775	0.242367321568255
AZ	2016-07-28	-0.0122469290371364	-0.0400392518151813	0.01487243386583	0.0661649632150273	0.1859	0.239925758632548
AZ	2016-07-29	-0.0123995148619609	-0.0400991265926127	0.0145336808511785	0.0659277131054597	0.18105	0.234219590777871
AZ	2016-07-30	-0.0125039463706064	-0.0402251392109398	0.0141034636214025	0.0656104457075639	0.1772	0.229671790715447
AZ	2016-07-31	-0.0126258130922797	-0.0400625232577456	0.0137832141285587	0.065319308405089	0.174	0.225734734173302
AZ	2016-08-01	-0.0127761268076873	-0.0399104276637618	0.0135816127598615	0.0650898498521736	0.1675	0.218446465100056
AZ	2016-08-02	-0.0129136641729523	-0.0397656522496476	0.0131673509973089	0.0648132115033695	0.1661	0.216289636833766
AZ	2016-08-03	-0.013071801020219	-0.0399805089617869	0.0129045173403875	0.0644548145002093	0.1627	0.212008289194819
AZ	2016-08-04	-0.0132195566286301	-0.0398391896458142	0.0125238947130605	0.0640024518158869	0.1559	0.204314976094792
AZ	2016-08-05	-0.0133572615104107	-0.0400991347623979	0.0122007004903708	0.0634162163341168	0.1538	0.201276959468593
AZ	2016-08-06	-0.0134733964038801	-0.0399110673163513	0.0119591190430475	0.0626523007705555	0.1527	0.199200747764322
AZ	2016-08-07	-0.0135792683387976	-0.0396947538050535	0.0119088021300421	0.061892533526217	0.15125	0.196828695392139
AZ	2016-08-08	-0.0136965090415992	-0.0398307253078885	0.0117009697535824	0.0611361309916419	0.1457	0.190336287104954
AZ	2016-08-09	-0.013783282012986	-0.0396068747595554	0.0112952187143972	0.0603857410458968	0.14425	0.188060857957491
AZ	2016-08-10	-0.0138985750838023	-0.0395999912712526	0.0110585802989283	0.0595984920741498	0.14215	0.185031008819103
AZ	2016-08-11	-0.014044490911249	-0.0397440785028318	0.0108884281393935	0.0588041031740101	0.1388	0.180669871642632
AZ	2016-08-12	-0.0141853266361226	-0.039814115152709	0.0106938554755858	0.0579650708959299	0.1362	0.177062697337066
