state	date	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
AK	2016-11-08					0.0667	0.0667
AL	2016-11-08					0.0123	0.0123
AR	2016-11-08					0.0123	0.0123
AZ	2016-07-01	-0.0511720925067154	-0.0799624574525159	-0.0212121840897404	0.151275696435957	0.0009	0.0304621478476973
AZ	2016-07-02	-0.0516251999236662	-0.0806467336954215	-0.0212682761491439	0.150305461669231	0.001	0.0301147466530833
AZ	2016-07-03	-0.0521144150866634	-0.0813922127688962	-0.0213391365030947	0.149343524175645	0.0007	0.0293568550999363
AZ	2016-07-04	-0.0526131395882217	-0.082253584006966	-0.0219889713747282	0.148399518967637	0.0007	0.0289057904411504
AZ	2016-07-05	-0.053109800130984	-0.0831484421779899	-0.021927465537102	0.14743412436424	0.0006	0.0283602483911867
AZ	2016-07-06	-0.0535554356994152	-0.0837222116529611	-0.0225690822750267	0.146475533476035	0.0007	0.0280502645554305
AZ	2016-07-07	-0.0540407426695159	-0.0843113700595386	-0.0227913119589038	0.145499284207726	0.0005	0.027423997898682
AZ	2016-07-08	-0.0545214261223548	-0.0849110091372266	-0.023203684354465	0.144506949475853	0.00045	0.0269546165798297
AZ	2016-07-09	-0.0550380201569129	-0.0854886627751308	-0.0235020917988763	0.14352575205147	0.0005	0.0265775644985556
AZ	2016-07-10	-0.055556303565403	-0.0861948016526288	-0.0235895801337216	0.142538799657634	0.00045	0.0261066384928458
AZ	2016-07-11	-0.0560707901446642	-0.0867759185002165	-0.0236673184900732	0.141564628648423	0.00045	0.0256974823848892
AZ	2016-07-12	-0.0565974222141025	-0.087470855269751	-0.0239157530081746	0.140603524232203	0.0005	0.0253427434910929
AZ	2016-07-13	-0.0571651170485233	-0.0879526953903841	-0.0246241257465236	0.13962629752476	0.0004	0.0248250873143916
AZ	2016-07-14	-0.0576910330789822	-0.0887827187612623	-0.0248905311077388	0.13865972929607	0.00025	0.0242848840878335
AZ	2016-07-15	-0.0582388623030823	-0.0892325750606549	-0.0254178478043395	0.1377078470883	0.0003	0.0239453532302283
AZ	2016-07-16	-0.0587738326227561	-0.0897343272277112	-0.0259246001627876	0.136702711266132	0.00045	0.0237091112687117
AZ	2016-07-17	-0.0593065059608496	-0.0906018609897328	-0.0264116403676737	0.135722293431633	0.0004	0.0232848911654361
AZ	2016-07-18	-0.0598251655671192	-0.09121931698585	-0.0263231949649824	0.134709075168285	0.0002	0.0227171253420355
AZ	2016-07-19	-0.0603797503462689	-0.0921868369577016	-0.0268607578937683	0.133726594543707	0.0002	0.0223475898420919
AZ	2016-07-20	-0.060916905040557	-0.0928073718188957	-0.0274026575624101	0.132752317893407	0.00015	0.0219423608898095
AZ	2016-07-21	-0.0614626729898138	-0.0932955591383786	-0.0280394039763901	0.131796958076906	0.00015	0.0215934146231728
AZ	2016-07-22	-0.0619962140441664	-0.0941097592909052	-0.028521171756324	0.130798056335	0.00015	0.0212477490079989
AZ	2016-07-23	-0.062508724341459	-0.0944794282875552	-0.0288329801886255	0.129814773079446	0.0001	0.0208674647734486
AZ	2016-07-24	-0.0630319695949997	-0.0952610457389612	-0.029261189386862	0.128887333954287	0.00015	0.0205979305949709
AZ	2016-07-25	-0.0635497000264842	-0.0959154101789398	-0.0294399343850601	0.127929373547345	0.0001	0.0202306022678362
AZ	2016-07-26	-0.0640814965110685	-0.0964240710671697	-0.0301796405065583	0.126954642423351	0.00015	0.019961435333977
AZ	2016-07-27	-0.0646078665767194	-0.0964404838777177	-0.0307387131868414	0.125989726411515	0.00015	0.0196506789555427
AZ	2016-07-28	-0.0651367238247659	-0.0972696771378138	-0.0308380512344459	0.125041469712174	0.00015	0.0193467698664991
AZ	2016-07-29	-0.0656812157276307	-0.0978181250391395	-0.0315392542615789	0.124078055308197	0.00015	0.019040949860418
AZ	2016-07-30	-0.066201580691732	-0.0983282802732037	-0.0319286887687466	0.123103531149751	0.00015	0.0187452555608881
AZ	2016-07-31	-0.0667367234405054	-0.0986992351505303	-0.0323281344411326	0.122132749696956	0.00015	0.0184506811543326
AZ	2016-08-01	-0.0672755304059157	-0.0987662502029813	-0.0327880981399009	0.121170538012649	0.00015	0.0181610862421375
AZ	2016-08-02	-0.0678300030848618	-0.0994193643184873	-0.0334307246560513	0.120207600350984	0.00015	0.0178718922134785
AZ	2016-08-03	-0.068417860321858	-0.100031639770379	-0.0343977386967934	0.119210618765369	0.00005	0.0174739033791128
AZ	2016-08-04	-0.0690229797732312	-0.100787689037063	-0.034981005829967	0.118228038493463	0.00005	0.017178793755629
AZ	2016-08-05	-0.0695416810129395	-0.10124402577348	-0.0353870062709176	0.117281911929087	0	0.0168649808605094
AZ	2016-08-06	-0.0700761171415321	-0.101542323631294	-0.0358914556368621	0.11630829478668	0	0.0165974228497525
AZ	2016-08-07	-0.0706034066111142	-0.101911909410399	-0.0364865323639487	0.115350555587478	0	0.0163378172703242
AZ	2016-08-08	-0.0711317251593516	-0.102199692225619	-0.0375308958281905	0.114407647355291	0	0.0160839129233814
AZ	2016-08-09	-0.0716968315701546	-0.102817139236555	-0.0382449178226184	0.113412125398747	0	0.0158182897228554
AZ	2016-08-10	-0.0722389501762515	-0.103159487383391	-0.0384680084753173	0.112408466855741	0	0.0155606451341668
AZ	2016-08-11	-0.0727860645787022	-0.103689561168108	-0.0390855589543408	0.111450424317024	0	0.0153120552625173
AZ	2016-08-12	-0.0733302523146254	-0.104070603869321	-0.0396018051553522	0.110470021505937	0	0.0150647267695142
